% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=235901, Fri Dec  1 02:59:50 2017
0 1 1 0 0 0.999999783891 0.999999799564 1.00000000424 0.999999759504 0.999999953369 0.999999948279 0.999999938618 1.0000000006
1 11 0.901520087644 0 0 0.888805999661 0.898231656083 0.883245692958 0.895891272554 0.91229204435 0.902198529481 0.883372260112 0.880494098785
2 21 0.992036311925 0 0 0.977675389845 0.968989285457 0.977392821165 0.999628695654 1.10982589296 0.971852005178 1.0073299609 0.965032227327
3 31 1.00305332966 0 0 0.96325978002 0.968862304092 0.971985332089 1.01065412346 1.11029122833 0.992858086888 1.02099716787 0.956174973376
4 41 0.949418121821 0 0 0.89803862635 0.899498122807 0.921949988867 0.939507851792 1.05033178235 0.934867954152 0.975880816883 0.882476190894
5 51 0.908625723946 0 0 0.84754141899 0.84849589712 0.884416691871 0.903586134699 0.984494521368 0.879352308519 0.920521897111 0.832162374816
6 61 0.869974998997 0 0 0.819615725404 0.813241787071 0.851184774116 0.881614211082 0.934939147096 0.837808691169 0.866366983987 0.805613106446
7 71 0.833519164853 0 0 0.770294735487 0.767761804833 0.799744918693 0.857499834152 0.876390420768 0.801715707438 0.817600168794 0.760028275311
8 81 0.75999177508 0 0 0.693853598496 0.692033775488 0.715688367929 0.772951510498 0.784161997002 0.718709833341 0.74840117525 0.687791760075
9 91 0.745005798722 0 0 0.675012923116 0.67078391186 0.692645227836 0.761555796365 0.751593959812 0.691614364752 0.721617902336 0.684025341362
10 101 0.780172584731 0 0 0.696187243292 0.743221304748 0.761013477539 0.809501241811 0.77843621437 0.71379003734 0.761308603266 0.711053188403
11 111 0.677618131539 0 0 0.59677096706 0.643722146767 0.657703196718 0.703409474473 0.666232680665 0.614106565491 0.647483678812 0.609591796375
12 121 0.667602117463 0 0 0.576092677572 0.630998212794 0.641607691623 0.675025882918 0.656308392277 0.604481304988 0.6570915908 0.591524427092
13 131 0.6357479223 0 0 0.53636844557 0.59195086978 0.614762806381 0.65652268663 0.627305232722 0.571528271517 0.616938710502 0.553347792723
14 141 0.679397668743 0 0 0.593907007811 0.629848212876 0.70178753374 0.721280595949 0.685388444799 0.601406326267 0.661228332002 0.595845608126
15 151 0.756002588465 0 0 0.673710277483 0.761239378947 0.794104404496 0.793217796236 0.759900375414 0.654921968625 0.7268911267 0.654128061346
16 161 0.716969787394 0 0 0.627285256095 0.711007719329 0.744294535328 0.736417678991 0.703418894986 0.626117664733 0.697023357298 0.605371534053
17 171 0.635861344625 0 0 0.547199280219 0.623395281886 0.649254397497 0.653308120992 0.613849985458 0.544235538012 0.615671628097 0.530247252101
18 181 0.596237873614 0 0 0.508538726401 0.583090142428 0.595032566322 0.604869359306 0.564267247511 0.51721119125 0.561259602985 0.486856610242
19 191 0.561106682348 0 0 0.481799101874 0.549767964993 0.547330175626 0.573654687382 0.521726659883 0.493937148226 0.534515645722 0.449960971288
20 201 0.521316072156 0 0 0.444373067152 0.515501182335 0.496493869972 0.532477738093 0.482431969362 0.462635029292 0.51400314377 0.408901893462
